Random State,Alpha(Smoothing),TP,FP,TN,FN,Accuracy,Precision,Recall,F1-Score
9931.0,10.0,6841.0,640.0,1950.0,1314.0,0.6962308050255933,0.914449939847614,0.838871857755978,0.8750319774878486
9931.0,50.0,7023.0,796.0,1794.0,1132.0,0.7276872964169381,0.8981967003453127,0.8611894543225015,0.8793038687867786
9931.0,100.0,7250.0,976.0,1614.0,905.0,0.765565379246161,0.8813518113299295,0.8890251379521765,0.8851718454306818
58146.0,0.0,6887.0,583.0,1956.0,1319.0,0.695207073057236,0.921954484605087,0.8392639532049719,0.8786680275580504
58146.0,1.0,6881.0,584.0,1955.0,1325.0,0.6947417403443462,0.921768251841929,0.8385327808920302,0.87818263033629
58146.0,10.0,6907.0,623.0,1916.0,1299.0,0.7007910656119125,0.9172642762284196,0.8417011942481112,0.8778596847991865
58146.0,50.0,7066.0,765.0,1774.0,1140.0,0.7288040949278735,0.9023113267781891,0.8610772605410675,0.8812121967949118
58146.0,100.0,7278.0,947.0,1592.0,928.0,0.7654723127035831,0.8848632218844985,0.8869120155983427,0.8858864341792952
79327.0,0.0,6770.0,607.0,2072.0,1296.0,0.6865518845974872,0.9177172292259728,0.8393255640962063,0.876772647801593
79327.0,1.0,6765.0,615.0,2064.0,1301.0,0.686831084225221,0.9166666666666666,0.8387056781552195,0.875954939790237
79327.0,10.0,6795.0,654.0,2025.0,1271.0,0.6932526756630991,0.9122029802658076,0.8424249938011406,0.8759265227199484
79327.0,50.0,6973.0,810.0,1869.0,1093.0,0.7243369008841322,0.8959270204291404,0.8644929333002728,0.8799293330809514
79327.0,100.0,7184.0,999.0,1680.0,882.0,0.7615635179153094,0.8779176341195161,0.8906521200099182,0.8842390300941596
3114652.0,0.0,6820.0,576.0,1986.0,1363.0,0.6883201489064681,0.922120064899946,0.8334351704753757,0.875537582643302
3114652.0,1.0,6821.0,577.0,1985.0,1362.0,0.688506281991624,0.9220059475533928,0.8335573750458267,0.8755535588216417
3114652.0,10.0,6843.0,599.0,1963.0,1340.0,0.6926012098650535,0.9195108841709216,0.8362458755957473,0.8759039999999999
3114652.0,50.0,7026.0,763.0,1799.0,1157.0,0.7248953001395998,0.9020413403517782,0.8586093119882684,0.8797896318557477
3114652.0,100.0,7240.0,938.0,1624.0,943.0,0.7610981852024197,0.8853020298361458,0.8847610900647684,0.8850314772935639
8538320.0,0.0,6833.0,582.0,1985.0,1345.0,0.690088413215449,0.9215104517869184,0.8355343604793348,0.8764189059193227
8538320.0,1.0,6835.0,587.0,1980.0,1343.0,0.6907398790134947,0.9209108057127459,0.8357789190511128,0.8762820512820513
8538320.0,10.0,6853.0,604.0,1963.0,1325.0,0.6939972080037227,0.9190022797371598,0.8379799461971142,0.8766229613047649
8538320.0,50.0,7039.0,753.0,1814.0,1139.0,0.7251744997673336,0.9033624229979466,0.8607238933724627,0.8815278647463995
8538320.0,100.0,7231.0,930.0,1637.0,947.0,0.7595160539785947,0.8860433770371278,0.884201516263145,0.8851214884631863
