K Value,Random State,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score
3,79327,7288,913,1644,901,0.7620509957193374,0.8159426780116436,0.8886721131569321,0.8507558512811534
3,3114652,7145,943,1689,969,0.755071654569142,0.808806882499434,0.8834075173095944,0.8444628294527833
3,8538320,7153,969,1682,942,0.7533035548110925,0.8096208262591964,0.8806944102437824,0.8436633838532759
4,80,7778,370,1915,683,0.7873627396240461,0.8024347467244404,0.9545900834560629,0.871924219494423
4,225,7753,377,1938,678,0.784571003163968,0.8000206377050872,0.9536285362853628,0.8700970764828011
4,2067,7811,388,1918,629,0.7854085241019915,0.802857436529962,0.9526771557507013,0.8713743864346274
4,4133,7855,365,1856,670,0.793318444072213,0.808876531768098,0.9555961070559611,0.8761363002621159
4,6741,7817,339,1932,658,0.7886655499720826,0.8018258282900811,0.9584355076017655,0.8731639206925439
4,9931,7806,344,1922,674,0.7891308393820957,0.8024259868421053,0.9577914110429447,0.8732520416153933
4,58146,7844,314,1949,639,0.7894100130281034,0.8009802920453385,0.9615101740622701,0.8739345997437468
4,79327,7856,345,1917,628,0.7895030709101061,0.8038473344929908,0.9579319595171321,0.8741515522421276
4,3114652,7719,369,1970,688,0.7823376139959054,0.7966766436164723,0.9543768545994066,0.8684254936153457
4,8538320,7779,343,1963,661,0.7854085241019915,0.7985013344282488,0.9577690224082738,0.8709135691894312
5,80,7484,664,1781,817,0.7724734785036292,0.8077711818672423,0.9185076092292587,0.8595876643886751
5,225,7465,665,1801,815,0.7705192629815746,0.8056334988128643,0.9182041820418204,0.8582432743159347
5,2067,7514,685,1785,762,0.7701470314535641,0.8080438756855576,0.9164532260031711,0.8588410104011888
5,4133,7596,624,1732,794,0.7807556300018612,0.8143224699828473,0.9240875912408759,0.8657396854342375
5,6741,7531,625,1784,806,0.775823562255723,0.8084809447128287,0.9233692986758215,0.8621143609409879
5,9931,7517,633,1785,811,0.7749860413176997,0.8081057837024296,0.9223312883435583,0.8614485445794178
5,58146,7560,598,1821,767,0.774892983435697,0.8058842340901823,0.926697720029419,0.8620787958264439
5,79327,7557,644,1766,779,0.7757305043737205,0.8105759948514427,0.9214729910986466,0.8624743209312943
5,3114652,7442,646,1852,806,0.7675414107574912,0.8007316548310738,0.9201285855588526,0.8562881141410654
5,8538320,7464,658,1819,805,0.7694956262795459,0.8040504147366153,0.9189854715587293,0.8576845733984486
6,80,7832,316,1965,633,0.7877349711520566,0.7994283964478922,0.9612174766813942,0.8728893842295905
6,225,7855,275,1966,650,0.7914572864321608,0.799816719275023,0.9661746617466175,0.8751601582084563
6,2067,7881,318,1962,585,0.7878280290340591,0.8006705272782688,0.9612147822905233,0.8736282008646492
6,4133,7919,301,1907,619,0.7945281965382468,0.8059230612660289,0.96338199513382,0.8776460157375595
6,6741,7880,276,1949,641,0.7929462125442025,0.8017092277952996,0.9661598822952427,0.8762857937169862
6,9931,7889,261,1982,614,0.7912711706681556,0.7992098065039003,0.9679754601226994,0.8755340991065977
6,58146,7885,273,1970,618,0.7912711706681556,0.8001014713343481,0.9665359156656043,0.8754788208516071
6,79327,7880,321,1954,591,0.7882933184440722,0.8013016066707341,0.9608584318985489,0.8738563903520932
6,3114652,7813,275,2024,634,0.7860599292760097,0.7942462132764054,0.9659990108803165,0.8717433751743375
6,8538320,7869,253,1990,634,0.7912711706681556,0.7981539709909727,0.9688500369367151,0.8752572159501696
7,80,7659,489,1875,723,0.7800111669458403,0.8033354310887351,0.9399852724594993,0.8663047166610113
